Word	uniqueID	WordContext	N_Ratings	Level1	N_noSize	N_notKnow	N_noRange	RangeStart_mean	RangeEnd_mean	RangeLength_mean	Size_mean	RangeStart_SD	RangeEnd_SD	RangeLength_SD	Size_SD
aardvark	aardvark	aardvark (animal)	44	4.513513514	0	7	0	263.027027	284.45945950000004	21.43243243	273.7432432	26.64633234	19.17694593	16.23018542	21.74940025
abacus	abacus	abacus	42	3.764705882	2	6	1	233.3823529	250.0294118	16.64705882	241.7058824	34.79726104	28.36502893	10.53962898	31.30401215
accordion	accordion	accordion	47	4.130434783	0	1	1	252.0217391	268.8478261	16.82608696	260.4347826	15.6992415	15.44735489	9.714375025	14.79699996
acorn	acorn	acorn (nut)	46	1.695652174	0	0	1	137.56521740000002	159.0869565	21.52173913	148.326087	31.86126326	26.83681227	19.415617	27.81071284
air conditioner	air_conditioner	air conditioner	46	4.608695652	0	0	0	270.2826087	293.56521739999994	23.2826087	281.923913	15.50435501	14.77332758	14.20588774	13.37409079
air mattress	air_mattress	air mattress	47	5.872340426	0	0	1	316.29787230000005	338.70212769999995	22.40425532	327.5	8.150526506	7.315602426	9.204581974	6.228441078
air pump	air_pump	air pump	43	3.952380952	0	1	0	236.4285714	260.9285714	24.5	248.6785714	18.46703438	19.81548158	14.64914881	17.6972581
airbag	airbag	airbag	41	4.351351351	4	0	0	253.29729730000005	272.40540539999995	19.10810811	262.8513514	21.93787297	21.06004572	9.418609781	20.98142858
airboat	airboat	airboat	46	6.860465116	0	3	0	356.627907	383.8139535	27.18604651	370.2209302	21.79342764	17.65307988	16.78045322	17.96931986
aircraft carrier	aircraft_carrier	aircraft carrier	44	7.931818182000001	0	0	9	413.4772727	429.1818182	15.70454545	421.3295455	22.20044902	30.12012595	24.00928071	23.57815879
airplane	airplane	airplane	47	7.957446808999999	0	0	1	399.1914894	421.74468089999993	22.55319149	410.46808510000005	22.97885446	15.34313058	20.36280551	16.67509346
album	album	album (photographic album)	45	3.860465116	3	0	1	234.0465116	250.83720930000004	16.79069767	242.4418605	18.26126983	14.89955294	13.34444443	15.27143665
alligator	alligator	alligator	46	5.52173913	0	0	1	294.0	329.0434783	35.04347826	311.52173910000005	39.14133933	35.55150037	26.70660053	34.923719500000004
almond	almond	almond	44	1.454545455	0	0	3	137.9090909	149.2045455	11.29545455	143.55681819999998	17.43135131	17.5082433	7.19683246	17.09522438
aloe	aloe	aloe	44	3.1875	10	2	0	203.15625	234.6875	31.53125	218.921875	40.24690681	36.74624185	28.41283714	35.82216591
alpaca	alpaca	alpaca	50	5.434782609	0	4	0	298.97826089999995	319.5869565	20.60869565	309.2826087	26.89526115	24.99117719	16.04781503	24.68955069
altar	altar	altar	42	5.27027027	1	4	0	289.7027027	319.10810810000004	29.40540541	304.40540539999995	29.24975296	30.53211768	19.93943533	28.18659005
